,movieId,Title
90,93,Vampire in Brooklyn
91,94,Beautiful Girls
92,95,Broken Arrow
93,96,In the Bleak Midwinter
94,97,Hate
95,98,Shopping
96,99,Heidi Fleiss: Hollywood Madam
97,100,City Hall
98,101,Bottle Rocket
99,102,Mr. Wrong
100,103,Unforgettable
101,104,Happy Gilmore
102,105,The Bridges of Madison County
103,106,Nobody Loves Me
104,107,Muppet Treasure Island
105,108,Catwalk
106,110,Braveheart
107,111,Taxi Driver
108,112,Rumble in the Bronx
109,113,Before and After
110,114,Margaret's Museum
111,115,Happiness Is in the Field
112,116,Anne Frank Remembered
113,117,The Young Poisoner's Handbook
114,118,If Lucy Fell
115,119,"Steal Big, Steal Little"
116,120,Race the Sun
117,121,The Boys of St. Vincent
118,122,Boomerang
119,123,Chungking Express
120,124,The Star Maker
121,125,Flirting With Disaster
122,126,The NeverEnding Story III
123,127,The Silences of the Palace
124,128,Jupiter's Wife
125,129,Pie in the Sky
126,131,Frankie Starlight
127,132,Jade
128,135,Down Periscope
129,136,From the Journals of Jean Seberg
130,137,Man of the Year
131,138,The Neon Bible
132,140,Up Close and Personal
133,141,The Birdcage
134,144,The Brothers McMullen
135,145,Bad Boys
136,146,The Amazing Panda Adventure
137,147,The Basketball Diaries
138,148,An Awfully Big Adventure
139,149,Amateur
140,150,Apollo 13
141,151,Rob Roy
142,152,The Addiction
143,153,Batman Forever
144,154,Beauty of the Day
145,155,Beyond Rangoon
146,156,Blue in the Face
147,157,Canadian Bacon
148,158,Casper
149,159,Clockers
150,160,Congo
151,161,Crimson Tide
152,162,Crumb
153,163,Desperado
154,164,Devil in a Blue Dress
155,165,Die Hard: With a Vengeance
156,166,The Doom Generation
157,167,Feast of July
158,168,First Knight
159,169,Free Willy 2: The Adventure Home
160,170,Hackers
161,171,Jeffrey
162,172,Johnny Mnemonic
163,173,Judge Dredd
164,174,Jury Duty
165,175,Kids
166,176,Living in Oblivion
167,177,Lord of Illusions
168,178,Love & Human Remains
169,179,Mad Love
170,180,Mallrats
171,181,Mighty Morphin Power Rangers: The Movie
172,182,Moonlight and Valentino
173,183,Mute Witness
174,184,Nadja
175,185,The Net
176,186,Nine Months
177,187,Party Girl
178,188,The Prophecy
179,189,Reckless
180,190,Safe
181,191,The Scarlet Letter
182,192,The Show
183,193,Showgirls
184,194,Smoke
185,195,Something to Talk About
186,196,Species
187,197,The Stars Fell on Henrietta
188,198,Strange Days
189,199,The Umbrellas of Cherbourg
190,200,The Tie That Binds
191,201,Three Wishes
192,202,Total Eclipse
193,203,"To Wong Foo, Thanks for Everything! Julie Newmar"
194,204,Under Siege 2: Dark Territory
195,205,Unstrung Heroes
196,206,Unzipped
197,207,A Walk in the Clouds
198,208,Waterworld
199,209,White Man's Burden
200,210,Wild Bill
201,211,The Browning Version
202,212,Bushwhacked
203,213,Burnt by the Sun
204,214,Before the Rain
205,215,Before Sunrise
206,216,Billy Madison
207,217,The Babysitter
208,218,Boys on the Side
209,219,The Cure
210,220,Castle Freak
211,222,Circle of Friends
212,223,Clerks
213,224,Don Juan DeMarco
214,225,Disclosure
215,227,Drop Zone
216,228,Destiny Turns on the Radio
217,229,Death and the Maiden
218,230,Dolores Claiborne
219,231,Dumb & Dumber
220,232,Eat Drink Man Woman
221,233,Exotica
222,234,Exit to Eden
223,235,Ed Wood
224,236,French Kiss
225,237,Forget Paris
226,238,Far From Home: The Adventures of Yellow Dog
227,239,A Goofy Movie
228,240,Hideaway
229,241,Fluke
230,242,Farinelli: il castrato
231,243,Gordy
232,244,Gumby: The Movie
233,245,The Glass Shield
234,246,Hoop Dreams
235,247,Heavenly Creatures
236,248,Houseguest
237,249,Immortal Beloved
238,250,Heavyweights
239,251,The Hunted
240,252,I.Q.
241,253,Interview with the Vampire: The Vampire Chronicles
242,254,Jefferson in Paris
243,255,The Jerky Boys
244,256,Junior
245,257,Just Cause
246,258,A Kid in King Arthur's Court
247,259,Kiss of Death
248,260,Star Wars: Episode IV - A New Hope
249,261,Little Women
250,262,A Little Princess
251,263,Ladybird Ladybird
252,264,"Enfer, L'"
253,265,Like Water for Chocolate
254,266,Legends of the Fall
255,267,Major Payne
256,268,Little Odessa
257,269,My Crazy Life
258,270,Love Affair
259,271,Losing Isaiah
260,272,The Madness of King George
261,273,Mary Shelley's Frankenstein
262,274,Man of the House
263,275,Mixed Nuts
264,276,Milk Money
265,277,Miracle on 34th Street
266,278,Miami Rhapsody
267,279,My Family
268,280,Murder in the First
269,281,Nobody's Fool
270,282,Nell
271,283,New Jersey Drive
272,285,Beyond Bedlam
273,286,Nemesis 2: Nebula
274,287,Nina Takes a Lover
275,288,Natural Born Killers
276,289,Only You
277,290,Once Were Warriors
278,291,Poison Ivy II
279,292,Outbreak
280,293,Léon: The Professional
281,294,The Perez Family
282,295,A Pyromaniac's Love Story
283,296,Pulp Fiction
284,297,Panther
285,298,Pushing Hands
286,299,Priest
287,300,Quiz Show
288,301,Picture Bride
289,302,Queen Margot
290,303,The Quick and the Dead
291,304,Roommates
292,305,Ready to Wear
293,306,Three Colors: Red
294,307,Three Colors: Blue
295,308,Three Colors: White
296,309,"Red Firecracker, Green Firecracker"
297,310,Rent-a-Kid
298,311,Relative Fear
299,312,Stuart Saves His Family
300,313,The Swan Princess
301,314,The Secret of Roan Inish
302,315,The Specialist
303,316,Stargate
304,317,The Santa Clause
305,318,The Shawshank Redemption
306,319,Shallow Grave
307,320,Suture
308,321,Strawberry and Chocolate
309,322,Swimming with Sharks
310,324,The Sum of Us
311,325,National Lampoon's Senior Trip
312,326,To Live
313,327,Tank Girl
314,328,Tales from the Crypt Presents: Demon Knight
315,329,Star Trek: Generations
316,330,Tales from the Hood
317,331,Tom & Viv
318,332,Village of the Damned
319,333,Tommy Boy
320,334,Vanya on 42nd Street
321,335,Underneath
322,336,The Walking Dead
323,337,What's Eating Gilbert Grape
324,338,Virtuosity
325,339,While You Were Sleeping
326,340,The War
327,341,Double Happiness
328,342,Muriel's Wedding
329,343,The Baby-Sitters Club
330,344,Ace Ventura: Pet Detective
331,345,"The Adventures of Priscilla, Queen of the Desert"
332,346,Backbeat
333,347,Bitter Moon
334,348,Bullets Over Broadway
335,349,Clear and Present Danger
336,350,The Client
337,351,"Corrina, Corrina"
338,352,Crooklyn
339,353,The Crow
340,354,Cobb
341,355,The Flintstones
342,356,Forrest Gump
343,357,Four Weddings and a Funeral
344,358,Higher Learning
345,359,I Like It Like That
346,360,I Love Trouble
347,361,It Could Happen to You
348,362,The Jungle Book
349,363,"The Wonderful, Horrible Life of Leni Riefenstahl"
350,364,The Lion King
351,365,Little Buddha
352,366,Wes Craven's New Nightmare
353,367,The Mask
354,368,Maverick
355,369,Mrs. Parker and the Vicious Circle
356,370,Naked Gun 33 1/3: The Final Insult
357,371,The Paper
358,372,Reality Bites
359,373,Red Rock West
360,374,Richie Rich
361,375,Safe Passage
362,376,The River Wild
363,377,Speed
364,378,Speechless
365,379,Timecop
366,380,True Lies
367,381,When a Man Loves a Woman
368,382,Wolf
369,383,Wyatt Earp
370,384,Bad Company
371,385,A Man of No Importance
372,386,S.F.W.
373,387,A Low Down Dirty Shame
374,388,Boys Life
375,389,"Colonel Chabert, Le"
376,390,Faster Pussycat! Kill! Kill!
377,391,Jason's Lyric
378,392,The Secret Adventures of Tom Thumb
379,393,Street Fighter
380,394,Coldblooded
381,397,The Fear
382,398,Frank and Ollie
383,402,Open Season
384,404,Brother Minister: The Assassination of Malcolm X
385,405,Highlander III: The Sorcerer
386,406,Federal Hill
387,407,In the Mouth of Madness
388,408,8 Seconds
389,409,Above the Rim
390,410,Addams Family Values
391,411,Martin Lawrence: You So Crazy
392,412,The Age of Innocence
393,413,Airheads
394,414,The Air Up There
395,415,Another Stakeout
396,416,Bad Girls
397,417,Barcelona
398,418,Being Human
399,419,The Beverly Hillbillies
400,420,Beverly Hills Cop III
401,421,Black Beauty
402,422,Blink
403,423,Blown Away
404,424,Blue Chips
405,425,Blue Sky
406,426,Body Snatchers
407,427,Boxing Helena
408,428,A Bronx Tale
409,429,Cabin Boy
410,430,Calendar Girl
411,431,Carlito's Way
412,432,City Slickers II: The Legend of Curly's Gold
413,433,Clean Slate
414,434,Cliffhanger
415,435,Coneheads
416,436,Color of Night
417,437,Cops and Robbersons
418,438,The Cowboy Way
419,439,Dangerous Game
420,440,Dave
421,441,Dazed and Confused
422,442,Demolition Man
423,443,The Endless Summer 2
424,444,Even Cowgirls Get the Blues
425,445,Fatal Instinct
426,446,Farewell My Concubine
427,447,The Favor
428,448,Fearless
429,449,Fear of a Black Hat
430,450,With Honors
431,451,Flesh and Bone
432,452,Widows' Peak
433,453,For Love or Money
434,454,The Firm
435,455,Free Willy
436,456,Fresh
437,457,The Fugitive
438,458,Geronimo: An American Legend
439,459,The Getaway
440,460,Getting Even with Dad
441,461,Go Fish
442,462,A Good Man in Africa
443,463,Guilty as Sin
444,464,Hard Target
445,465,Heaven & Earth
446,466,Hot Shots! Part Deux
447,467,Live Nude Girls
448,468,The Englishman Who Went Up a Hill But Came Down a Mountain
449,469,The House of the Spirits
450,470,House Party 3
451,471,The Hudsucker Proxy
452,472,I'll Do Anything
453,473,In the Army Now
454,474,In the Line of Fire
455,475,In the Name of the Father
456,476,The Inkwell
457,477,What's Love Got to Do with It?
458,478,Jimmy Hollywood
459,479,Judgment Night
460,480,Jurassic Park
461,481,Kalifornia
462,482,Killing Zoe
463,483,King of the Hill
464,484,Lassie
465,485,Last Action Hero
466,486,Life with Mikey
467,487,Lightning Jack
468,488,M. Butterfly
469,489,Made in America
470,490,Malice
471,491,The Man Without a Face
472,492,Manhattan Murder Mystery
473,493,Menace II Society
474,494,Executive Decision
475,495,In the Realm of the Senses
476,496,What Happened Was...
477,497,Much Ado About Nothing
478,498,Mr. Jones
479,499,Mr. Wonderful
480,500,Mrs. Doubtfire
481,501,Naked
482,502,The Next Karate Kid
483,503,The New Age
484,504,No Escape
485,505,North
486,506,Orlando
487,507,A Perfect World
488,508,Philadelphia
489,509,The Piano
490,510,Poetic Justice
491,511,The Program
492,512,The Puppet Masters
493,513,Radioland Murders
494,514,The Ref
495,515,The Remains of the Day
496,516,Renaissance Man
497,517,Rising Sun
498,518,The Road to Wellville
499,519,RoboCop 3
500,520,Robin Hood: Men in Tights
501,521,Romeo Is Bleeding
502,522,Romper Stomper
503,523,Ruby in Paradise
504,524,Rudy
505,525,The Saint of Fort Washington
506,526,Savage Nights
507,527,Schindler's List
508,528,The Scout
509,529,Searching for Bobby Fischer
510,531,The Secret Garden
511,532,Serial Mom
512,533,The Shadow
513,534,Shadowlands
514,535,Short Cuts
515,536,A Simple Twist of Fate
516,537,Sirens
517,538,Six Degrees of Separation
518,539,Sleepless in Seattle
519,540,Sliver
520,541,Blade Runner
521,542,Son in Law
522,543,So I Married an Axe Murderer
523,544,Striking Distance
524,545,Harem
525,546,Super Mario Bros.
526,547,Surviving the Game
527,548,Terminal Velocity
528,549,Thirty-Two Short Films About Glenn Gould
529,550,Threesome
530,551,The Nightmare Before Christmas
531,552,The Three Musketeers
532,553,Tombstone
533,554,Trial by Jury
534,555,True Romance
535,556,The War Room
536,558,The Pagemaster
537,559,"Paris, France"
538,561,Killer
539,562,Welcome to the Dollhouse
540,563,Germinal
541,564,Chasers
542,565,Cronos
543,566,Naked in New York
544,567,Kika
545,568,Bhaji on the Beach
546,569,Little Big League
547,570,The Slingshot
548,571,The Wedding Gift
549,573,"Ciao, Professore!"
550,574,Spanking the Monkey
551,575,The Little Rascals
552,577,Andre
553,580,Princess Caraboo
554,581,The Celluloid Closet
555,582,Métisse
556,583,Dear Diary
557,585,The Brady Bunch Movie
558,586,Home Alone
559,587,Ghost
560,588,Aladdin
561,589,Terminator 2: Judgment Day
562,590,Dances with Wolves
563,592,Batman
564,593,The Silence of the Lambs
565,594,Snow White and the Seven Dwarfs
566,595,Beauty and the Beast
567,596,Pinocchio
568,597,Pretty Woman
569,598,Window to Paris
570,599,The Wild Bunch
571,600,Love and a .45
572,601,The Wooden Man's Bride
573,602,A Great Day in Harlem
574,603,"Bye Bye, Love"
575,605,One Fine Day
576,606,Candyman: Farewell to the Flesh
577,608,Fargo
578,609,Homeward Bound II: Lost in San Francisco
579,610,Heavy Metal
580,611,Hellraiser: Bloodline
581,612,The Pallbearer
582,613,Jane Eyre
583,614,Loaded
584,615,Bread and Chocolate
585,616,The Aristocats
586,617,The Flower of My Secret
587,618,Two Much
588,619,Ed
589,621,My Favorite Season
590,624,Condition Red
591,626,A Thin Line Between Love and Hate
592,627,The Last Supper
593,628,Primal Fear
594,630,Carried Away
595,631,All Dogs Go to Heaven 2
596,632,Land and Freedom
597,633,Denise Calls Up
598,634,Theodore Rex
599,635,A Family Thing
600,637,Sgt. Bilko
601,638,Jack and Sarah
602,639,Girl 6
603,640,Diabolique
604,641,"Little Indian, Big City"
605,645,Nelly & Monsieur Arnaud
606,647,Courage Under Fire
607,648,Mission: Impossible
608,649,Cold Fever
609,650,Moll Flanders
610,651,"Superweib, Das"
611,652,"301, 302"
612,653,Dragonheart
613,656,Eddie
614,658,Billy's Holiday
615,659,Purple Noon
616,660,August
617,661,James and the Giant Peach
618,662,Fear
619,663,Kids in the Hall: Brain Candy
620,664,Faithful
621,665,Underground
622,666,All Things Fair
623,667,Bloodsport 2
624,668,Song of the Little Road
625,670,The World of Apu
626,671,Mystery Science Theater 3000: The Movie
627,673,Space Jam
628,674,Barbarella
629,678,Some Folks Call It a Sling Blade
630,679,The Run of the Country
631,680,Alphaville
632,681,Coup de torchon
633,682,Tigrero: A Film That Was Never Made
634,685,It's My Party
635,687,Country Life
636,688,Operation Dumbo Drop
637,690,The Promise
638,691,Mrs. Winterbourne
639,692,Solo
640,694,The Substitute
641,695,True Crime
642,696,Butterfly Kiss
643,697,Feeling Minnesota
644,698,Delta of Venus
645,700,Angus
646,701,Daens
647,702,Faces
648,703,Boys
649,704,The Quest
650,705,Cosi
651,706,Sunset Park
652,707,Mulholland Falls
653,708,The Truth About Cats & Dogs
654,709,Oliver & Company
655,710,Celtic Pride
656,711,Flipper
657,712,Captives
658,713,Of Love and Shadows
659,714,Dead Man
660,715,The Horseman on the Roof
661,716,Switchblade Sisters
662,717,Mouth to Mouth
663,718,The Visitors
664,719,Multiplicity
665,720,Wallace & Gromit: The Best of Aardman Animation
666,722,The Haunted World of Edward D. Wood Jr.
667,724,The Craft
668,725,The Great White Hype
669,726,Last Dance
670,728,Cold Comfort Farm
671,729,"Institute Benjamenta, or This Dream People Call Human Life"
672,730,Low Life
673,731,Heaven's Prisoners
674,732,Original Gangstas
675,733,The Rock
676,734,Getting Away With Murder
677,735,Cemetery Man
678,736,Twister
679,737,Barb Wire
680,741,Ghost in the Shell
681,742,Thinner
682,743,Spy Hard
683,745,Wallace & Gromit: A Close Shave
684,746,Force of Evil
685,747,The Stupids
686,748,The Arrival
687,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
688,751,Careful
689,753,A Month by the Lake
690,754,Gold Diggers: The Secret of Bear Mountain
691,755,Kim
692,756,Carmen Miranda: Bananas Is My Business
693,757,Ashes of Time
694,759,Maya Lin: A Strong Clear Vision
695,760,Stalingrad
696,761,The Phantom
697,762,Striptease
698,763,The Last of the High Kings
699,764,Heavy
700,765,Jack
701,766,I Shot Andy Warhol
702,767,The Grass Harp
703,769,Marlene Dietrich: Shadow and Light
704,771,Life Is Rosy
705,775,Spirits of the Dead
706,776,Babyfever
707,778,Trainspotting
708,779,'Til There Was You
709,780,Independence Day
710,781,Stealing Beauty
711,782,The Fan
712,783,The Hunchback of Notre Dame
713,784,The Cable Guy
714,785,Kingpin
715,786,Eraser
716,787,The Gate of Heavenly Peace
717,788,The Nutty Professor
718,789,"I, the Worst of All"
719,790,An Unforgettable Summer
720,791,"The Last Klezmer: Leopold Kozlowski, His Life and Music"
721,792,A Hungarian Fairy Tale
722,793,My Life and Times With Antonin Artaud
723,794,Midnight Dancers
724,795,Somebody to Love
725,797,The Old Lady Who Walked in the Sea
726,798,Daylight
727,799,The Frighteners
728,800,Lone Star
729,801,Harriet the Spy
730,802,Phenomenon
731,803,Walking and Talking
732,804,She's the One
733,805,A Time to Kill
734,806,American Buffalo
735,807,Rendezvous in Paris
736,808,Alaska
737,809,Fled
738,810,Kazaam
739,813,Larger Than Life
740,816,Two Deaths
741,818,A Very Brady Sequel
742,819,Stefano Quantestorie
743,820,Death in the Garden
744,821,The Crude Oasis
745,823,The Collector
746,824,Kaspar Hauser
747,827,The Convent
748,828,The Adventures of Pinocchio
749,829,Joe's Apartment
750,830,The First Wives Club
751,831,Stonewall
752,832,Ransom
753,833,High School High
754,834,Phat Beach
755,835,Foxfire
756,836,Chain Reaction
757,837,Matilda
758,838,Emma
759,839,The Crow: City of Angels
760,840,House Arrest
761,841,Eyes Without a Face
762,842,Tales from the Crypt Presents: Bordello of Blood
763,843,Lotto Land
764,844,The Story of Xinghua
765,845,The Day the Sun Turned Cold
766,846,Flirt
767,847,The Big Squeeze
768,848,The Spitfire Grill
769,849,Escape from L.A.
770,850,Cyclo
771,851,Basquiat
772,852,Tin Cup
773,853,Dingo
774,854,The Ballad of Narayama
775,856,Mille bolle blu
776,857,Crows and Sparrows
777,858,The Godfather
778,860,"Maybe, Maybe Not"
779,861,Supercop
780,862,Manny & Lo
781,864,The Wife
782,865,Small Faces
783,866,Bound
784,867,Carpool
785,868,Death in Brunswick
786,869,Kansas City
787,870,Gone Fishin'
788,871,Lover's Knot
789,872,Vive L'Amour
790,874,Killer: A Journal of Murder
791,875,Nothing to Lose
792,876,Supercop 2
793,877,Girls Town
794,879,The Relic
795,880,The Island of Dr. Moreau
796,881,First Kid
797,882,The Trigger Effect
798,884,Sweet Nothing
799,885,Bogus
800,886,Bulletproof
801,888,Land Before Time III: The Time of the Great Giving
802,889,1-900
803,891,Halloween: The Curse of Michael Myers
804,892,Twelfth Night
805,893,Mother Night
806,895,Venice/Venice
807,896,Wild Reeds
808,897,For Whom the Bell Tolls
809,898,The Philadelphia Story
810,899,Singin' in the Rain
811,900,An American in Paris
812,901,Funny Face
813,902,Breakfast at Tiffany's
814,903,Vertigo
815,904,Rear Window
816,905,It Happened One Night
817,906,Gaslight
818,907,The Gay Divorcee
819,908,North by Northwest
820,909,The Apartment
821,910,Some Like It Hot
822,911,Charade
823,912,Casablanca
824,913,The Maltese Falcon
825,914,My Fair Lady
826,915,Sabrina
827,916,Roman Holiday
828,917,The Little Princess
829,918,Meet Me in St. Louis
830,919,The Wizard of Oz
831,920,Gone with the Wind
832,921,My Favorite Year
833,922,Sunset Blvd.
834,923,Citizen Kane
835,924,2001: A Space Odyssey
836,925,Golden Earrings
837,926,All About Eve
838,927,The Women
839,928,Rebecca
840,929,Foreign Correspondent
841,930,Notorious
842,931,Spellbound
843,932,An Affair to Remember
844,933,To Catch a Thief
845,934,Father of the Bride
846,935,The Band Wagon
847,936,Ninotchka
848,937,Love in the Afternoon
849,938,Gigi
850,939,The Reluctant Debutante
851,940,The Adventures of Robin Hood
852,941,The Mark of Zorro
853,942,Laura
854,943,The Ghost and Mrs. Muir
855,944,Lost Horizon
856,945,Top Hat
857,946,To Be or Not to Be
858,947,My Man Godfrey
859,948,Giant
860,949,East of Eden
861,950,The Thin Man
862,951,His Girl Friday
863,952,Around the World in 80 Days
864,953,It's a Wonderful Life
865,954,Mr. Smith Goes to Washington
866,955,Bringing Up Baby
867,956,Penny Serenade
868,957,The Scarlet Letter
869,958,Lady of Burlesque
870,959,Of Human Bondage
871,960,Angel on My Shoulder
872,961,Little Lord Fauntleroy
873,962,They Made Me a Criminal
874,963,The Inspector General
875,964,Angel and the Badman
876,965,The 39 Steps
877,966,A Walk in the Sun
878,967,The Outlaw
879,968,Night of the Living Dead
880,969,The African Queen
881,970,Beat the Devil
882,971,Cat on a Hot Tin Roof
883,972,The Last Time I Saw Paris
884,973,Meet John Doe
885,974,Algiers
886,976,A Farewell to Arms
887,979,Nothing Personal
888,980,"Yes, Madam"
889,981,Dangerous Ground
890,982,Picnic
891,984,The Pompatus of Love
892,985,Small Wonders
893,986,Fly Away Home
894,987,Bliss
895,988,Grace of My Heart
896,989,Brother of Sleep
897,990,Maximum Risk
898,991,Michael Collins
899,992,The Rich Man's Wife
900,993,Infinity
901,994,Big Night
902,996,Last Man Standing
903,997,Caught
904,998,Set It Off
905,999,2 Days in the Valley
906,1000,Curdled
907,1002,Ed's Next Move
908,1003,Extreme Measures
909,1004,The Glimmer Man
910,1005,D3: The Mighty Ducks
911,1006,The Chamber
912,1007,The Apple Dumpling Gang
913,1008,"Davy Crockett, King of the Wild Frontier"
914,1009,Escape to Witch Mountain
915,1010,The Love Bug
916,1011,Herbie Rides Again
917,1012,Old Yeller
918,1013,The Parent Trap
919,1014,Pollyanna
920,1015,Homeward Bound: The Incredible Journey
921,1016,The Shaggy Dog
922,1017,Swiss Family Robinson
923,1018,That Darn Cat!
924,1019,"20,000 Leagues Under the Sea"
925,1020,Cool Runnings
926,1021,Angels in the Outfield
927,1022,Cinderella
928,1023,Winnie the Pooh and the Blustery Day
929,1024,The Three Caballeros
930,1025,The Sword in the Stone
931,1026,So Dear to My Heart
932,1027,Robin Hood: Prince of Thieves
933,1028,Mary Poppins
934,1029,Dumbo
935,1030,Pete's Dragon
936,1031,Bedknobs and Broomsticks
937,1032,Alice in Wonderland
938,1033,The Fox and the Hound
939,1034,Freeway
940,1035,The Sound of Music
941,1036,Die Hard
942,1037,The Lawnmower Man
943,1038,Unhook the Stars
944,1039,Synthetic Pleasures
945,1040,The Secret Agent
946,1041,Secrets & Lies
947,1042,That Thing You Do!
948,1043,To Gillian on Her 37th Birthday
949,1044,Surviving Picasso
950,1045,Love Is All There Is
951,1046,Beautiful Thing
952,1047,The Long Kiss Goodnight
953,1049,The Ghost and the Darkness
954,1050,Looking for Richard
955,1051,Trees Lounge
956,1053,Normal Life
957,1054,Get on the Bus
958,1055,Shadow Conspiracy
959,1056,Jude
960,1057,Everyone Says I Love You
961,1058,Bitter Sugar
962,1059,William Shakespeare's Romeo + Juliet
963,1060,Swingers
964,1061,Sleepers
965,1062,The Sunchaser
966,1063,Johns
967,1064,Aladdin and the King of Thieves
968,1066,Shall We Dance
969,1067,A Damsel in Distress
970,1068,Crossfire
971,1069,"Murder, My Sweet"
972,1070,Macao
973,1071,For the Moment
974,1073,Willy Wonka & the Chocolate Factory
975,1075,The Sexual Life of the Belgians
976,1076,The Innocents
977,1077,Sleeper
978,1078,Bananas
979,1079,A Fish Called Wanda
980,1080,Monty Python's Life of Brian
981,1081,Victor/Victoria
982,1082,The Candidate
983,1083,The Great Race
984,1084,Bonnie and Clyde
985,1085,The Old Man and the Sea
986,1086,Dial M for Murder
987,1087,Madame Butterfly
988,1088,Dirty Dancing
989,1089,Reservoir Dogs
990,1090,Platoon
991,1091,Weekend at Bernie's
992,1092,Basic Instinct
993,1093,The Doors
994,1094,The Crying Game
995,1095,Glengarry Glen Ross
996,1096,Sophie's Choice
997,1097,E.T. the Extra-Terrestrial
998,1098,The Search for One-eye Jimmy
999,1099,A Christmas Carol
1000,1100,Days of Thunder
1001,1101,Top Gun
1002,1102,American Strays
1003,1103,Rebel Without a Cause
1004,1104,A Streetcar Named Desire
1005,1105,Children of the Corn IV: The Gathering
1006,1107,Loser
1007,1111,Microcosmos
1008,1112,Palookaville
1009,1113,The Associate
1010,1114,The Funeral
1011,1116,A Single Girl
1012,1117,The Eighth Day
1013,1119,Drunks
1014,1120,The People vs. Larry Flynt
1015,1121,Glory Daze
1016,1123,A Perfect Candidate
1017,1124,On Golden Pond
1018,1125,The Return of the Pink Panther
1019,1126,Drop Dead Fred
1020,1127,The Abyss
1021,1128,The Fog
1022,1129,Escape from New York
1023,1130,The Howling
1024,1131,Jean de Florette
1025,1132,Manon of the Spring
1026,1133,Talking About Sex
1027,1134,Johnny 100 Pesos
1028,1135,Private Benjamin
1029,1136,Monty Python and the Holy Grail
1030,1137,Hustler White
1031,1138,Dadetown
1032,1142,Get Over It
1033,1143,Three Lives and Only One Death
1034,1144,The Line King: The Al Hirschfeld Story
1035,1145,Snowriders
1036,1147,When We Were Kings
1037,1148,Wallace & Gromit: The Wrong Trousers
1038,1149,JLG/JLG
1039,1150,The Return of Martin Guerre
1040,1151,Lesson Faust
1041,1152,He Walked by Night
1042,1153,Raw Deal
1043,1154,T-Men
1044,1156,The Children Are Watching Us
1045,1161,The Tin Drum
1046,1162,The Ruling Class
1047,1163,Mina Tannenbaum
1048,1164,2 ou 3 choses que je sais d'elle
1049,1167,Dear God
1050,1168,Bad Moon
1051,1169,American Dream
1052,1170,Best of the Best 3: No Turning Back
1053,1171,Bob Roberts
1054,1172,Cinema Paradiso
1055,1173,The Cook the Thief His Wife & Her Lover
1056,1174,Dead Tired
1057,1175,Delicatessen
1058,1176,The Double Life of Veronique
1059,1177,Enchanted April
1060,1178,Paths of Glory
1061,1179,The Grifters
1062,1180,Hear My Song
1063,1181,The Shooter
1064,1183,The English Patient
1065,1184,Mediterraneo
1066,1185,My Left Foot
1067,1186,"Sex, Lies, and Videotape"
1068,1187,Passion Fish
1069,1188,Strictly Ballroom
1070,1189,The Thin Blue Line
1071,1190,Tie Me Up! Tie Me Down!
1072,1191,Madonna: Truth or Dare
1073,1192,Paris Is Burning
1074,1193,One Flew Over the Cuckoo's Nest
1075,1194,Cheech and Chong's Up in Smoke
1076,1196,Star Wars: Episode V - The Empire Strikes Back
1077,1197,The Princess Bride
1078,1198,Raiders of the Lost Ark
1079,1199,Brazil
1080,1200,Aliens
